"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage","reference","specificity","n_donors","donors_positive","donor_support","median_donor_effect"
0.000159578771495121,0.908450902798945,0.299,0.171,1,"BACH2","identity","migrating+mature",0.128,NA,NA,NA,NA
0.000193312446663848,1.56897671176125,0.135,0.051,1,"PHLDA3","identity","migrating+mature",0.084,NA,NA,NA,NA
0.000204775979758652,1.12206105511048,0.167,0.073,1,"IRS1","identity","migrating+mature",0.094,NA,NA,NA,NA
0.000243129753850143,0.707592966310326,0.452,0.348,1,"RAPGEF2","identity","migrating+mature",0.104,NA,NA,NA,NA
0.000269649138239492,0.797244625653435,0.413,0.297,1,"NETO2","identity","migrating+mature",0.116,NA,NA,NA,NA
0.00030062367159708,0.376902867836001,0.63,0.516,1,"DCBLD2","identity","migrating+mature",0.114,NA,NA,NA,NA
0.00030947241342282,1.07183289864132,0.352,0.231,1,"TAC1","identity","migrating+mature",0.121,NA,NA,NA,NA
0.000339424568902554,1.18194274706591,0.185,0.089,1,"LINC01201","identity","migrating+mature",0.096,NA,NA,NA,NA
0.000357100454215821,0.730153850354459,0.428,0.316,1,"COPG2","identity","migrating+mature",0.112,NA,NA,NA,NA
0.000370547579037717,0.594441386984068,0.387,0.259,1,"NCOA7","identity","migrating+mature",0.128,NA,NA,NA,NA
0.000412977755522189,1.12121624775469,0.22,0.12,1,"AKR1C2","identity","migrating+mature",0.1,NA,NA,NA,NA
0.000440191373321511,1.17269924687621,0.173,0.085,1,"CAMKV","identity","migrating+mature",0.088,NA,NA,NA,NA
0.000454279243130404,0.791386497243329,0.331,0.212,1,"ARL6IP6","identity","migrating+mature",0.119,NA,NA,NA,NA
0.000470821926631425,1.44613512746676,0.161,0.076,1,"SDK2","identity","migrating+mature",0.085,NA,NA,NA,NA
0.000480749077612359,1.05073890970384,0.252,0.146,1,"TBL1X","identity","migrating+mature",0.106,NA,NA,NA,NA
0.000511892206173451,1.24254768886433,0.138,0.057,1,"SLC10A4","identity","migrating+mature",0.081,NA,NA,NA,NA
0.000527740887415348,1.14764951601289,0.185,0.092,1,"DUSP6","identity","migrating+mature",0.093,NA,NA,NA,NA
0.000550015899959526,1.76842557153768,0.109,0.038,1,"POU3F4","identity","migrating+mature",0.071,NA,NA,NA,NA
0.000593861810481178,0.73080488695801,0.466,0.345,1,"MIR7-3HG","identity","migrating+mature",0.121,NA,NA,NA,NA
0.000595365855331901,0.904232205041416,0.264,0.155,1,"WNK2","identity","migrating+mature",0.109,NA,NA,NA,NA
0.000598620642655856,1.12665970414548,0.196,0.104,1,"CNTN1","identity","migrating+mature",0.092,NA,NA,NA,NA
0.000612413290214896,0.900844391424759,0.202,0.104,1,"SIX3-AS1","identity","migrating+mature",0.098,NA,NA,NA,NA
0.00061731937641041,0.261902371941102,0.915,0.902,1,"SSR2","identity","migrating+mature",0.013,NA,NA,NA,NA
0.000648922814719959,0.868915156076963,0.249,0.142,1,"TWF2","identity","migrating+mature",0.107,NA,NA,NA,NA
0.000691749559851439,0.529207489887371,0.554,0.449,1,"SRRM4","identity","migrating+mature",0.105,NA,NA,NA,NA
0.000694384485299124,1.28441732247184,0.132,0.054,1,"SNTG1","identity","migrating+mature",0.078,NA,NA,NA,NA
0.00070593631414347,0.907115145799771,0.308,0.203,1,"FAM19A5","identity","migrating+mature",0.105,NA,NA,NA,NA
0.000706534561739313,0.68466422222475,0.449,0.335,1,"SEMA6A","identity","migrating+mature",0.114,NA,NA,NA,NA
0.000888043115720716,0.624962545504928,0.548,0.481,1,"HES4","identity","migrating+mature",0.0670000000000001,NA,NA,NA,NA
0.000888080662250679,0.614899710253758,0.455,0.351,1,"NTM","identity","migrating+mature",0.104,NA,NA,NA,NA
0.000891912461325686,0.614532012639062,0.326,0.218,1,"DGKZ","identity","migrating+mature",0.108,NA,NA,NA,NA
0.00090416595534923,0.353096005826886,0.801,0.725,1,"CNN3","identity","migrating+mature",0.0760000000000001,NA,NA,NA,NA
0.00097617275907146,1.02530068051465,0.196,0.104,1,"SPRED3","identity","migrating+mature",0.092,NA,NA,NA,NA
0.000995416463309552,0.268415430699148,0.833,0.775,1,"CAMTA1","identity","migrating+mature",0.0579999999999999,NA,NA,NA,NA
0.00100868661606596,0.462858415188531,0.633,0.566,1,"SSBP2","identity","migrating+mature",0.0670000000000001,NA,NA,NA,NA
0.00100876955386898,1.31761568734384,0.152,0.073,1,"CDH10","identity","migrating+mature",0.079,NA,NA,NA,NA
0.00108106162284259,0.399900666514692,0.792,0.756,1,"PPA1","identity","migrating+mature",0.036,NA,NA,NA,NA
0.00108552322814652,0.739344828483394,0.613,0.554,1,"RBP1","identity","migrating+mature",0.0589999999999999,NA,NA,NA,NA
0.00110862458027527,1.24053149370178,0.144,0.066,1,"SNX18","identity","migrating+mature",0.078,NA,NA,NA,NA
0.0011438543207462,0.792876735487497,0.15,0.07,1,"CDH6","identity","migrating+mature",0.08,NA,NA,NA,NA
0.00119841541446248,0.534759797562558,0.37,0.263,1,"MPST","identity","migrating+mature",0.107,NA,NA,NA,NA
0.00120129310887126,0.597185459310957,0.422,0.307,1,"RUSC1","identity","migrating+mature",0.115,NA,NA,NA,NA
0.00121059084564551,0.413696645473183,0.677,0.623,1,"CXXC4","identity","migrating+mature",0.054,NA,NA,NA,NA
0.00129517386373188,0.302603685232468,0.88,0.867,1,"MARCH6","identity","migrating+mature",0.013,NA,NA,NA,NA
0.00132035398225391,0.250927491059986,0.938,0.937,1,"SCG3","identity","migrating+mature",0.00099999999999989,NA,NA,NA,NA
0.00150197467811719,1.18084362826134,0.173,0.092,1,"KLHL5","identity","migrating+mature",0.081,NA,NA,NA,NA
0.00152171834292801,1.27400674306398,0.12,0.051,1,"KCTD9","identity","migrating+mature",0.069,NA,NA,NA,NA
0.00153649974425688,1.62266049190492,0.132,0.06,1,"LMO3","identity","migrating+mature",0.072,NA,NA,NA,NA
0.00173419226901457,0.720411236103782,0.246,0.146,1,"HECTD2","identity","migrating+mature",0.1,NA,NA,NA,NA
0.0017555045230908,0.765517458653194,0.205,0.114,1,"COL4A2","identity","migrating+mature",0.091,NA,NA,NA,NA
0.00182200456927431,0.613456845697123,0.358,0.247,1,"NQO2","identity","migrating+mature",0.111,NA,NA,NA,NA
0.00186591849522906,0.385776247246218,0.801,0.763,1,"CSRNP3","identity","migrating+mature",0.038,NA,NA,NA,NA
0.00193249915851302,1.28087055509182,0.155,0.079,1,"PDE9A","identity","migrating+mature",0.076,NA,NA,NA,NA
0.00214273327462594,0.493063445596014,0.507,0.402,1,"AKR1C1","identity","migrating+mature",0.105,NA,NA,NA,NA
0.00220950400858502,0.336641640202619,0.824,0.788,1,"LBH","identity","migrating+mature",0.0359999999999999,NA,NA,NA,NA
0.00222315348452285,1.34376869968635,0.138,0.066,1,"TMEM44","identity","migrating+mature",0.072,NA,NA,NA,NA
0.00255310994192145,0.919748293963578,0.205,0.12,1,"ZIC3","identity","migrating+mature",0.085,NA,NA,NA,NA
0.00259756291234654,0.452529707972304,0.504,0.402,1,"DUSP4","identity","migrating+mature",0.102,NA,NA,NA,NA
0.00264469395055151,0.784474849708066,0.296,0.203,1,"GPCPD1","identity","migrating+mature",0.093,NA,NA,NA,NA
0.00266502226433416,0.656278448183734,0.258,0.165,1,"MGAT5","identity","migrating+mature",0.093,NA,NA,NA,NA
0.00268453686851591,1.17284190053634,0.12,0.054,1,"DOCK5","identity","migrating+mature",0.066,NA,NA,NA,NA
0.00279571813768322,0.800762225318215,0.214,0.13,1,"SEMA4D","identity","migrating+mature",0.084,NA,NA,NA,NA
0.00280548006242935,0.295336792640795,0.777,0.699,1,"UPF3A","identity","migrating+mature",0.0780000000000001,NA,NA,NA,NA
0.00315542552280988,0.623423168189787,0.437,0.345,1,"ITGB1BP1","identity","migrating+mature",0.092,NA,NA,NA,NA
0.0035692491891684,0.9072441389397,0.123,0.057,1,"JPH3","identity","migrating+mature",0.066,NA,NA,NA,NA
0.00366966676190179,0.759764675386398,0.282,0.196,1,"NCAN","identity","migrating+mature",0.086,NA,NA,NA,NA
0.00383719513089055,0.908071581672213,0.147,0.076,1,"NUDT14","identity","migrating+mature",0.071,NA,NA,NA,NA
0.00404811952816172,1.52930016860373,0.103,0.044,1,"GAL3ST4","identity","migrating+mature",0.059,NA,NA,NA,NA
0.00410462026529338,0.629152377681315,0.284,0.19,1,"LRFN4","identity","migrating+mature",0.094,NA,NA,NA,NA
0.00415768064189336,0.844352289731327,0.252,0.168,1,"TLE3","identity","migrating+mature",0.084,NA,NA,NA,NA
0.00417693725008785,0.574900380277103,0.455,0.354,1,"SLC12A5","identity","migrating+mature",0.101,NA,NA,NA,NA
